Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,094029,2020,01,01,23.3,1,Y
IDCJAC0010,094029,2020,01,02,25.9,1,Y
IDCJAC0010,094029,2020,01,03,20.7,1,Y
IDCJAC0010,094029,2020,01,04,28.1,1,Y
IDCJAC0010,094029,2020,01,05,22.9,1,Y
IDCJAC0010,094029,2020,01,06,20.9,1,Y
IDCJAC0010,094029,2020,01,07,19.3,1,Y
IDCJAC0010,094029,2020,01,08,23.2,1,Y
IDCJAC0010,094029,2020,01,09,30.9,1,Y
IDCJAC0010,094029,2020,01,10,30.3,1,Y
IDCJAC0010,094029,2020,01,11,19.1,1,Y
IDCJAC0010,094029,2020,01,12,23.3,1,Y
IDCJAC0010,094029,2020,01,13,31.1,1,Y
IDCJAC0010,094029,2020,01,14,22.8,1,Y
IDCJAC0010,094029,2020,01,15,30.5,1,Y
IDCJAC0010,094029,2020,01,16,16.0,1,Y
IDCJAC0010,094029,2020,01,17,15.6,1,Y
IDCJAC0010,094029,2020,01,18,18.0,1,Y
IDCJAC0010,094029,2020,01,19,21.1,1,Y
IDCJAC0010,094029,2020,01,20,17.6,1,Y
IDCJAC0010,094029,2020,01,21,18.4,1,Y
IDCJAC0010,094029,2020,01,22,29.6,1,Y
IDCJAC0010,094029,2020,01,23,20.9,1,Y
IDCJAC0010,094029,2020,01,24,21.9,1,Y
IDCJAC0010,094029,2020,01,25,24.9,1,Y
IDCJAC0010,094029,2020,01,26,23.3,1,Y
IDCJAC0010,094029,2020,01,27,23.4,1,Y
IDCJAC0010,094029,2020,01,28,25.6,1,Y
IDCJAC0010,094029,2020,01,29,29.5,1,Y
IDCJAC0010,094029,2020,01,30,36.3,1,Y
IDCJAC0010,094029,2020,01,31,40.4,1,Y
IDCJAC0010,094029,2020,02,01,21.5,1,Y
IDCJAC0010,094029,2020,02,02,21.9,1,Y
IDCJAC0010,094029,2020,02,03,15.1,1,Y
IDCJAC0010,094029,2020,02,04,21.4,1,Y
