Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2021,01,01,29.9,1,N
IDCJAC0010,086338,2021,01,02,29.0,1,N
IDCJAC0010,086338,2021,01,03,26.2,1,N
IDCJAC0010,086338,2021,01,04,18.6,1,N
IDCJAC0010,086338,2021,01,05,19.1,1,N
IDCJAC0010,086338,2021,01,06,19.2,1,N
IDCJAC0010,086338,2021,01,07,25.7,1,N
IDCJAC0010,086338,2021,01,08,24.3,1,N
IDCJAC0010,086338,2021,01,09,27.9,1,N
IDCJAC0010,086338,2021,01,10,33.5,1,N
IDCJAC0010,086338,2021,01,11,36.7,1,N
IDCJAC0010,086338,2021,01,12,21.6,1,N
IDCJAC0010,086338,2021,01,13,27.0,1,N
IDCJAC0010,086338,2021,01,14,22.2,1,N
IDCJAC0010,086338,2021,01,15,20.6,1,Y
IDCJAC0010,086338,2021,01,16,20.1,1,N
IDCJAC0010,086338,2021,01,17,20.2,1,N
IDCJAC0010,086338,2021,01,18,22.6,1,N
IDCJAC0010,086338,2021,01,19,18.9,1,N
IDCJAC0010,086338,2021,01,20,22.6,1,N
IDCJAC0010,086338,2021,01,21,31.6,1,N
IDCJAC0010,086338,2021,01,22,25.0,1,N
IDCJAC0010,086338,2021,01,23,26.7,1,N
IDCJAC0010,086338,2021,01,24,37.8,1,N
IDCJAC0010,086338,2021,01,25,39.2,1,N
IDCJAC0010,086338,2021,01,26,19.3,1,N
IDCJAC0010,086338,2021,01,27,25.8,1,N
IDCJAC0010,086338,2021,01,28,25.5,1,N
IDCJAC0010,086338,2021,01,29,21.6,1,N
IDCJAC0010,086338,2021,01,30,21.9,1,N
IDCJAC0010,086338,2021,01,31,21.8,1,N
IDCJAC0010,086338,2021,02,01,20.3,1,N
IDCJAC0010,086338,2021,02,02,19.3,1,N
IDCJAC0010,086338,2021,02,03,25.9,1,N
IDCJAC0010,086338,2021,02,04,30.6,1,N
IDCJAC0010,086338,2021,02,05,29.8,1,N
IDCJAC0010,086338,2021,02,06,25.4,1,N
IDCJAC0010,086338,2021,02,07,19.2,1,Y
IDCJAC0010,086338,2021,02,08,19.2,1,N
IDCJAC0010,086338,2021,02,09,25.2,1,N
IDCJAC0010,086338,2021,02,10,31.5,1,N
IDCJAC0010,086338,2021,02,11,32.8,1,N
IDCJAC0010,086338,2021,02,12,23.3,1,N
IDCJAC0010,086338,2021,02,13,20.8,1,N
IDCJAC0010,086338,2021,02,14,20.0,1,N
IDCJAC0010,086338,2021,02,15,24.6,1,N
IDCJAC0010,086338,2021,02,16,31.3,1,N
IDCJAC0010,086338,2021,02,17,28.8,1,N
IDCJAC0010,086338,2021,02,18,31.8,1,N
IDCJAC0010,086338,2021,02,19,32.6,1,N
IDCJAC0010,086338,2021,02,20,23.8,1,N
IDCJAC0010,086338,2021,02,21,20.6,1,N
IDCJAC0010,086338,2021,02,22,21.8,1,N
IDCJAC0010,086338,2021,02,23,19.2,1,N
IDCJAC0010,086338,2021,02,24,20.2,1,N
IDCJAC0010,086338,2021,02,25,24.3,1,N
IDCJAC0010,086338,2021,02,26,19.7,1,N
IDCJAC0010,086338,2021,02,27,18.6,1,N
IDCJAC0010,086338,2021,02,28,26.7,1,N
IDCJAC0010,086338,2021,03,01,21.7,1,Y
IDCJAC0010,086338,2021,03,02,18.1,1,Y
IDCJAC0010,086338,2021,03,03,17.7,1,Y
IDCJAC0010,086338,2021,03,04,21.4,1,Y
IDCJAC0010,086338,2021,03,05,18.0,1,Y
IDCJAC0010,086338,2021,03,06,19.4,1,Y
IDCJAC0010,086338,2021,03,07,28.5,1,Y
IDCJAC0010,086338,2021,03,08,19.6,1,Y
IDCJAC0010,086338,2021,03,09,19.6,1,Y
IDCJAC0010,086338,2021,03,10,20.1,1,Y
IDCJAC0010,086338,2021,03,11,24.7,1,Y
IDCJAC0010,086338,2021,03,12,30.3,1,Y
IDCJAC0010,086338,2021,03,13,27.2,1,Y
