Date,Precip_Ith,MaxTemp_Ith,MinTemp_Ith,Precip_Can,MaxTemp_Can,MinTemp_Can
1,0,33,19,0,34,28
2,0.07,32,25,0.04,36,28
3,1.11,30,22,0.84,30,26
4,0,29,-1,0,29,19
5,0,25,4,0,30,16
6,0,30,14,0,35,24
7,0,37,21,0.02,44,26
8,0.04,37,22,0.05,38,24
9,0.02,29,23,0.01,31,24
10,0.05,30,27,0.09,33,29
11,0.34,36,29,0.18,39,29
12,0.06,32,25,0.04,33,27
13,0.18,33,29,0.04,34,31
14,0.02,34,15,0,39,26
15,0.02,53,29,0.06,51,38
16,0,45,24,0.03,44,23
17,0,25,0,0.04,25,13
18,0,28,2,0,34,14
19,0,2,26,0,36,28
20,0.45,27,17,0.35,29,19
21,0,26,19,0.02,27,19
22,0,28,9,0.01,29,17
23,0.7,24,20,0.35,27,22
24,0,26,-6,0.08,24,2
25,0,9,-13,0,11,4
26,0,22,-13,0,21,5
27,0,17,-11,0,19,7
28,0,26,-4,0,26,8
29,0.01,27,-4,0.01,28,14
30,0.03,30,11,0.01,31,14
31,0.05,34,23,0.13,38,23
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
