Year,Precip_inch
1933,0.44
1934,1.18
1935,2.69
1936,2.08
1937,3.66
1938,1.72
1939,2.82
1940,0.72
1941,1.46
1942,1.3
1943,1.35
1944,0.54
1945,2.74
1946,1.13
1947,2.5
1948,1.72
1949,2.27
1950,2.82
1951,1.98
1952,2.44
1953,2.53
1954,2
1955,1.12
1956,2.13
1957,1.36
1958,4.9
1959,2.94
1960,1.75
1961,1.69
1962,1.88
1963,1.31
1964,1.76
1965,2.17
1966,2.38
1967,1.16
1968,1.39
1969,1.36
1970,1.03
1971,1.11
1972,1.35
1973,1.44
1974,1.84
1975,1.69
1976,3
1977,1.36
1978,6.37
1979,4.55
1980,0.52
1981,0.87
1982,1.51
